split,crop_image,source_image,person_index,crop_x1,crop_y1,crop_x2,crop_y2
train,images/train/frame_000210_person_00.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,0,419,0,511,114
train,images/train/frame_000210_person_01.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,1,516,1,609,120
train,images/train/frame_000210_person_02.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,2,290,106,380,202
train,images/train/frame_000210_person_03.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,3,202,123,296,218
train,images/train/frame_000210_person_04.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,4,694,153,794,239
train,images/train/frame_000210_person_05.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,5,702,293,786,414
train,images/train/frame_000210_person_06.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,6,585,303,698,422
train,images/train/frame_000210_person_07.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,7,704,460,800,544
train,images/train/frame_000210_person_08.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,8,678,609,756,656
train,images/train/frame_000210_person_09.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,9,560,481,673,592
train,images/train/frame_000210_person_10.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,10,554,645,644,699
train,images/train/frame_000210_person_11.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,11,289,597,387,671
train,images/train/frame_000210_person_12.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,12,210,573,288,625
train,images/train/frame_000210_person_13.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,13,159,440,264,531
train,images/train/frame_000210_person_14.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,14,208,46,304,122
train,images/train/frame_000210_person_15.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,15,126,119,223,211
train,images/train/frame_000210_person_16.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,16,73,408,155,455
train,images/train/frame_000210_person_17.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,17,110,544,184,612
train,images/train/frame_000210_person_18.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,18,95,192,184,241
train,images/train/frame_000210_person_19.jpg,data/person_dataset_seed123/images/train/frame_000210.jpg,19,119,86,201,141
train,images/train/frame_000215_person_00.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,0,516,6,612,100
train,images/train/frame_000215_person_01.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,1,417,0,513,85
train,images/train/frame_000215_person_02.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,2,208,42,308,135
train,images/train/frame_000215_person_03.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,3,289,112,374,200
train,images/train/frame_000215_person_04.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,4,202,136,303,209
train,images/train/frame_000215_person_05.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,5,695,156,794,240
train,images/train/frame_000215_person_06.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,6,697,297,794,403
train,images/train/frame_000215_person_07.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,7,586,307,686,414
train,images/train/frame_000215_person_08.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,8,711,458,798,552
train,images/train/frame_000215_person_09.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,9,568,485,669,601
train,images/train/frame_000215_person_10.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,10,686,604,755,657
train,images/train/frame_000215_person_11.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,11,557,625,653,701
train,images/train/frame_000215_person_12.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,12,164,444,257,534
train,images/train/frame_000215_person_13.jpg,data/person_dataset_seed123/images/train/frame_000215.jpg,13,73,408,157,457
