split,image,label,selection
train,frame_000210_person_03.jpg,negative,sampled_negative
train,frame_000210_person_13.jpg,negative,sampled_negative
train,frame_000215_person_05.jpg,negative,sampled_negative
train,frame_000221_person_03.jpg,negative,sampled_negative
train,frame_000227_person_05.jpg,negative,sampled_negative
train,frame_000227_person_15.jpg,negative,sampled_negative
train,frame_000227_person_18.jpg,negative,sampled_negative
train,frame_000241_person_09.jpg,negative,sampled_negative
train,frame_000249_person_07.jpg,negative,sampled_negative
train,frame_000249_person_08.jpg,negative,sampled_negative
train,frame_000264_person_06.jpg,negative,sampled_negative
train,frame_000264_person_13.jpg,negative,sampled_negative
train,frame_000272_person_13.jpg,negative,sampled_negative
train,frame_000279_person_03.jpg,negative,sampled_negative
train,frame_000279_person_04.jpg,negative,sampled_negative
train,frame_000279_person_14.jpg,negative,sampled_negative
train,frame_000289_person_13.jpg,negative,sampled_negative
train,frame_000301_person_05.jpg,negative,sampled_negative
train,frame_000310_person_05.jpg,negative,sampled_negative
train,frame_000318_person_04.jpg,negative,sampled_negative
train,frame_000318_person_14.jpg,positive,all_positive
train,frame_000327_person_01.jpg,negative,sampled_negative
train,frame_000340_person_10.jpg,positive,all_positive
train,frame_000340_person_17.jpg,negative,sampled_negative
train,frame_000346_person_07.jpg,negative,sampled_negative
train,frame_000346_person_18.jpg,positive,all_positive
train,frame_000356_person_02.jpg,negative,sampled_negative
train,frame_000367_person_06.jpg,negative,sampled_negative
train,frame_000376_person_08.jpg,positive,all_positive
train,frame_000379_person_08.jpg,positive,all_positive
train,frame_000391_person_03.jpg,negative,sampled_negative
train,frame_000423_person_04.jpg,positive,all_positive
train,frame_000423_person_05.jpg,negative,sampled_negative
train,frame_000435_person_00.jpg,positive,all_positive
train,frame_000439_person_00.jpg,negative,sampled_negative
train,frame_000439_person_07.jpg,negative,sampled_negative
train,frame_000439_person_09.jpg,negative,sampled_negative
train,frame_000439_person_12.jpg,negative,sampled_negative
train,frame_000459_person_00.jpg,positive,all_positive
train,frame_000459_person_01.jpg,positive,all_positive
train,frame_000459_person_05.jpg,negative,sampled_negative
train,frame_000476_person_14.jpg,negative,sampled_negative
train,frame_000486_person_16.jpg,negative,sampled_negative
train,frame_000486_person_17.jpg,negative,sampled_negative
train,frame_000502_person_09.jpg,positive,all_positive
train,frame_000502_person_16.jpg,negative,sampled_negative
train,frame_000509_person_01.jpg,negative,sampled_negative
train,frame_000509_person_03.jpg,negative,sampled_negative
train,frame_000509_person_08.jpg,negative,sampled_negative
train,frame_000509_person_10.jpg,positive,all_positive
train,frame_000509_person_16.jpg,negative,sampled_negative
train,frame_000513_person_05.jpg,negative,sampled_negative
train,frame_000612_person_15.jpg,negative,sampled_negative
train,frame_000615_person_03.jpg,negative,sampled_negative
train,frame_000615_person_06.jpg,negative,sampled_negative
train,frame_000625_person_03.jpg,negative,sampled_negative
train,frame_000625_person_11.jpg,negative,sampled_negative
train,frame_000633_person_05.jpg,negative,sampled_negative
train,frame_000639_person_04.jpg,negative,sampled_negative
train,frame_000647_person_09.jpg,negative,sampled_negative
train,frame_000657_person_11.jpg,negative,sampled_negative
train,frame_000666_person_00.jpg,negative,sampled_negative
train,frame_000666_person_04.jpg,negative,sampled_negative
train,frame_000674_person_10.jpg,negative,sampled_negative
train,frame_000688_person_08.jpg,negative,sampled_negative
train,frame_000692_person_15.jpg,negative,sampled_negative
train,frame_000701_person_11.jpg,negative,sampled_negative
train,frame_000704_person_05.jpg,negative,sampled_negative
train,frame_000704_person_11.jpg,negative,sampled_negative
train,frame_000704_person_13.jpg,negative,sampled_negative
train,frame_000732_person_03.jpg,negative,sampled_negative
train,frame_000732_person_09.jpg,negative,sampled_negative
train,frame_000741_person_06.jpg,negative,sampled_negative
train,frame_000741_person_08.jpg,negative,sampled_negative
train,frame_000753_person_00.jpg,negative,sampled_negative
train,frame_000757_person_00.jpg,negative,sampled_negative
train,frame_000757_person_04.jpg,negative,sampled_negative
train,frame_000769_person_18.jpg,negative,sampled_negative
train,frame_000771_person_12.jpg,negative,sampled_negative
train,frame_000771_person_15.jpg,negative,sampled_negative
train,frame_000784_person_01.jpg,negative,sampled_negative
train,frame_000784_person_18.jpg,negative,sampled_negative
train,frame_000790_person_00.jpg,negative,sampled_negative
train,frame_000814_person_05.jpg,positive,all_positive
train,frame_000814_person_10.jpg,negative,sampled_negative
train,frame_000814_person_12.jpg,negative,sampled_negative
train,frame_000818_person_06.jpg,positive,all_positive
train,frame_000818_person_18.jpg,negative,sampled_negative
train,frame_000847_person_00.jpg,positive,all_positive
train,frame_000847_person_03.jpg,negative,sampled_negative
train,frame_000847_person_04.jpg,negative,sampled_negative
train,frame_000847_person_17.jpg,negative,sampled_negative
train,frame_000860_person_00.jpg,positive,all_positive
