decision,image,preview,frame,time_seconds,block_id,person_index,person_confidence,tag_confidence,crop_x1,crop_y1,crop_x2,crop_y2,tag_boxes_xyxy_conf
negative,images/hardneg_f0000235_p06.jpg,previews/hardneg_f0000235_p06.jpg,235,9.4,3,6,0.9249,0.5385,204,34,304,130,"[[38.194854736328125, 0.0, 50.26200866699219, 8.563974380493164, 0.5384969115257263]]"
negative,images/hardneg_f0000235_p17.jpg,previews/hardneg_f0000235_p17.jpg,235,9.4,3,17,0.33,0.3147,113,80,205,157,"[[35.67688751220703, 0.017619991675019264, 47.65781021118164, 10.1145601272583, 0.3146591782569885]]"
negative,images/hardneg_f0000265_p05.jpg,previews/hardneg_f0000265_p05.jpg,265,10.6,3,5,0.9237,0.5781,206,29,307,130,"[[35.89316177368164, 4.252801418304443, 48.27091598510742, 13.724569320678711, 0.5780602693557739]]"
negative,images/hardneg_f0000285_p08.jpg,previews/hardneg_f0000285_p08.jpg,285,11.4,4,8,0.9142,0.3105,521,0,616,106,"[[46.977508544921875, 54.965091705322266, 55.14435577392578, 63.82426071166992, 0.31051233410835266]]"
negative,images/hardneg_f0000295_p07.jpg,previews/hardneg_f0000295_p07.jpg,295,11.8,4,7,0.9183,0.6512,206,31,308,129,"[[36.174285888671875, 2.3506510257720947, 48.45008850097656, 12.006878852844238, 0.6511688232421875]]"
negative,images/hardneg_f0000350_p09.jpg,previews/hardneg_f0000350_p09.jpg,350,14,5,9,0.9254,0.3327,413,0,518,91,"[[46.922706604003906, 0.0, 54.41610336303711, 6.0504231452941895, 0.3327154517173767]]"
negative,images/hardneg_f0000410_p07.jpg,previews/hardneg_f0000410_p07.jpg,410,16.4,6,7,0.9064,0.3441,521,1,615,105,"[[46.183502197265625, 54.573299407958984, 53.84573745727539, 62.998878479003906, 0.34406110644340515]]"
negative,images/hardneg_f0000460_p04.jpg,previews/hardneg_f0000460_p04.jpg,460,18.4,6,4,0.9351,0.5077,512,0,617,106,"[[60.442935943603516, 56.9133186340332, 68.4090347290039, 65.49867248535156, 0.5076900720596313]]"
negative,images/hardneg_f0000485_p03.jpg,previews/hardneg_f0000485_p03.jpg,485,19.4,7,3,0.9446,0.3765,571,474,683,598,"[[0.0, 79.94466400146484, 13.216385841369629, 91.98147583007812, 0.37654608488082886]]"
negative,images/hardneg_f0000485_p07.jpg,previews/hardneg_f0000485_p07.jpg,485,19.4,7,7,0.9353,0.3128,511,0,617,105,"[[60.9872932434082, 56.59519958496094, 68.30866241455078, 64.66532135009766, 0.31282904744148254]]"
negative,images/hardneg_f0000485_p13.jpg,previews/hardneg_f0000485_p13.jpg,485,19.4,7,13,0.8734,0.5018,201,144,300,257,"[[53.175228118896484, 30.815248489379883, 63.282291412353516, 40.80725860595703, 0.5017585754394531]]"
negative,images/hardneg_f0000610_p06.jpg,previews/hardneg_f0000610_p06.jpg,610,24.4,9,6,0.9311,0.6717,511,0,618,107,"[[56.1419563293457, 55.84798812866211, 64.01514434814453, 64.43425750732422, 0.6716509461402893]]"
negative,images/hardneg_f0000725_p12.jpg,previews/hardneg_f0000725_p12.jpg,725,29,10,12,0.8875,0.3145,103,174,173,231,"[[42.226654052734375, 3.391531229019165, 50.19198989868164, 10.293436050415039, 0.31445130705833435]]"
negative,images/hardneg_f0000960_p19.jpg,previews/hardneg_f0000960_p19.jpg,960,38.4,14,19,0.1103,0.6267,572,331,695,420,"[[73.95928955078125, 31.6998291015625, 82.3971939086914, 41.11184310913086, 0.6267328262329102]]"
negative,images/hardneg_f0000980_p16.jpg,previews/hardneg_f0000980_p16.jpg,980,39.2,14,16,0.8506,0.6019,535,451,680,584,"[[0.12358634173870087, 84.26594543457031, 9.571553230285645, 93.6666488647461, 0.6019477844238281]]"
negative,images/hardneg_f0000985_p15.jpg,previews/hardneg_f0000985_p15.jpg,985,39.4,14,15,0.5704,0.3146,146,145,238,235,"[[0.0, 30.79451560974121, 6.408048152923584, 39.59416961669922, 0.3146250545978546]]"
negative,images/hardneg_f0001175_p06.jpg,previews/hardneg_f0001175_p06.jpg,1175,47,17,6,0.9052,0.3225,198,141,298,255,"[[13.4399995803833, 7.417783737182617, 27.89365577697754, 19.98700714111328, 0.32249054312705994]]"
