staff ID,frame,x,y,time
156,344,291.8,648.7,00m 13s 720ms
156,345,313.1,656.2,00m 13s 760ms
156,346,343.7,657.9,00m 13s 800ms
156,347,367.2,666.2,00m 13s 840ms
156,348,384.7,664.9,00m 13s 880ms
156,349,406.3,662.4,00m 13s 920ms
156,350,440.8,658.7,00m 13s 960ms
156,351,464.4,648.4,00m 14s 000ms
156,352,482.7,636.8,00m 14s 040ms
156,353,508,621.7,00m 14s 080ms
156,354,531.9,599,00m 14s 120ms
156,355,547.3,576,00m 14s 160ms
156,356,562.4,540.4,00m 14s 200ms
156,357,573.9,500.2,00m 14s 240ms
156,358,578.6,480.6,00m 14s 280ms
156,359,576.3,433.5,00m 14s 320ms
156,360,573.8,418.3,00m 14s 360ms
156,361,578.8,405,00m 14s 400ms
156,362,580.3,383.7,00m 14s 440ms
156,363,580.4,357.8,00m 14s 480ms
156,364,578.6,335.1,00m 14s 520ms
156,365,572.3,323.5,00m 14s 560ms
156,366,567,306.3,00m 14s 600ms
156,367,562,280.7,00m 14s 640ms
156,368,556.3,263,00m 14s 680ms
156,369,551.9,254.5,00m 14s 720ms
156,370,545.7,241.7,00m 14s 760ms
156,371,539.2,213.6,00m 14s 800ms
156,372,530.7,201.6,00m 14s 840ms
156,373,522.4,186.8,00m 14s 880ms
156,374,514.4,163.9,00m 14s 920ms
156,375,511.8,157.5,00m 14s 960ms
156,376,510.9,148.4,00m 15s 000ms
156,377,513.1,148.4,00m 15s 040ms
156,378,512.5,158.3,00m 15s 080ms
156,379,521.9,166.6,00m 15s 120ms
156,380,525.5,169.2,00m 15s 160ms
156,381,525.2,171.7,00m 15s 200ms
156,382,529.8,176.9,00m 15s 240ms
156,383,532.1,180.2,00m 15s 280ms
156,384,533.9,201.4,00m 15s 320ms
156,385,534.2,220.3,00m 15s 360ms
156,386,534.4,231.8,00m 15s 400ms
156,387,534.8,232.5,00m 15s 440ms
156,388,543,269.2,00m 15s 480ms
156,389,553.3,291.1,00m 15s 520ms
156,390,560.5,303.3,00m 15s 560ms
156,391,566.2,327.1,00m 15s 600ms
156,392,569.4,364.5,00m 15s 640ms
156,393,569.8,383.7,00m 15s 680ms
156,394,566,384.8,00m 15s 720ms
156,395,557.7,401,00m 15s 760ms
156,396,564.8,451.4,00m 15s 800ms
156,397,568.7,487,00m 15s 840ms
156,398,567.1,505.4,00m 15s 880ms
156,399,558.9,551.4,00m 15s 920ms
156,400,552.2,587.1,00m 15s 960ms
156,401,548.6,617.3,00m 16s 000ms
156,402,541.8,649.3,00m 16s 040ms
156,403,534.7,670.3,00m 16s 080ms
156,404,529.9,688.1,00m 16s 120ms
156,405,525.4,708.6,00m 16s 160ms
156,406,524.8,720,00m 16s 200ms
156,407,525.9,720,00m 16s 240ms
156,408,526.5,720,00m 16s 280ms
156,409,520.8,720,00m 16s 320ms
156,410,518,720,00m 16s 360ms
156,411,514.5,720,00m 16s 400ms
156,412,514.7,720,00m 16s 440ms
156,413,522.1,720,00m 16s 480ms
156,414,527.7,720,00m 16s 520ms
156,415,532.1,720,00m 16s 560ms
156,416,534.1,720,00m 16s 600ms
156,417,535.8,720,00m 16s 640ms
156,418,530.1,720,00m 16s 680ms
156,419,537.2,720,00m 16s 720ms
156,423,516.2,720,00m 16s 880ms
156,424,514.4,720,00m 16s 920ms
156,425,514.5,720,00m 16s 960ms
156,426,513.7,720,00m 17s 000ms
156,427,511.6,720,00m 17s 040ms
156,428,513.9,720,00m 17s 080ms
156,429,517.1,720,00m 17s 120ms
156,430,519.5,720,00m 17s 160ms
156,431,522.9,713.9,00m 17s 200ms
156,432,525.4,704.4,00m 17s 240ms
156,433,530.9,687.1,00m 17s 280ms
156,434,540.4,667.4,00m 17s 320ms
156,435,546.7,644.7,00m 17s 360ms
156,436,558.3,620.7,00m 17s 400ms
156,437,569.2,594.8,00m 17s 440ms
156,438,572.6,563.1,00m 17s 480ms
156,439,573.9,519.9,00m 17s 520ms
156,440,581.2,477.4,00m 17s 560ms
156,441,572.9,438.6,00m 17s 600ms
156,442,575.4,420.6,00m 17s 640ms
156,443,576.7,393.5,00m 17s 680ms
156,444,577.2,356.4,00m 17s 720ms
156,445,572.8,342.3,00m 17s 760ms
156,446,565.6,327.5,00m 17s 800ms
156,447,558.6,296.7,00m 17s 840ms
156,448,553,271.1,00m 17s 880ms
156,449,545.1,263.5,00m 17s 920ms
156,450,538.6,258,00m 17s 960ms
156,451,532.9,250.1,00m 18s 000ms
156,452,524.6,218.2,00m 18s 040ms
156,453,513.9,203.1,00m 18s 080ms
156,454,497.7,200.4,00m 18s 120ms
156,455,486.1,190,00m 18s 160ms
156,456,470.9,175.8,00m 18s 200ms
156,457,456.4,161.5,00m 18s 240ms
156,458,449,160.7,00m 18s 280ms
156,459,445.5,162.6,00m 18s 320ms
156,460,443.8,161.7,00m 18s 360ms
156,461,445.7,162.6,00m 18s 400ms
156,462,450.6,169.2,00m 18s 440ms
156,463,456.4,167.8,00m 18s 480ms
156,464,465.1,167,00m 18s 520ms
156,465,479.5,167.2,00m 18s 560ms
156,466,490.2,178.5,00m 18s 600ms
