epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
1,220.213,1.57321,1.751,0.01209,0.75113,0.67353,0.73243,0.3584,1.601,1.65256,0.01134,0.000332889,0.000332889,0.067044,0.3584,0
2,424.479,1.4172,1.04978,0.01065,0.77775,0.74426,0.78703,0.39223,1.70871,1.44202,0.01197,0.000659627,0.000659627,0.0340374,0.39223,0
3,630.683,1.34247,0.83574,0.01009,0.81195,0.78303,0.84456,0.41862,1.70315,1.24727,0.01176,0.000979764,0.000979764,0.00102421,0.41862,0
4,841.333,1.28316,0.72943,0.00961,0.84624,0.74948,0.83,0.41022,1.6994,1.31712,0.01171,0.0009703,0.0009703,0.0009703,0.41022,0
5,1049.23,1.24956,0.68112,0.00933,0.83082,0.78466,0.78003,0.3864,1.69211,1.35862,0.01154,0.0009604,0.0009604,0.0009604,0.3864,0
6,1259.55,1.2286,0.62786,0.00908,0.86444,0.8016,0.83828,0.43251,1.60995,1.30086,0.01131,0.0009505,0.0009505,0.0009505,0.43251,0
7,1462.16,1.16553,0.58512,0.00858,0.86289,0.80404,0.8587,0.44961,1.63848,1.32622,0.01142,0.0009406,0.0009406,0.0009406,0.44961,0
8,1666.4,1.14343,0.56923,0.00846,0.85634,0.87387,0.88589,0.45851,1.69248,1.12125,0.01182,0.0009307,0.0009307,0.0009307,0.45851,0
9,1871.68,1.13146,0.54252,0.00844,0.86372,0.82077,0.85531,0.44562,1.67166,1.1863,0.0114,0.0009208,0.0009208,0.0009208,0.44562,0
10,2077.46,1.12352,0.53808,0.00824,0.86938,0.81153,0.85183,0.46164,1.65869,1.27778,0.01144,0.0009109,0.0009109,0.0009109,0.46164,0
11,2283.61,1.08288,0.5139,0.00791,0.84365,0.83679,0.85649,0.44077,1.72806,1.21918,0.01197,0.000901,0.000901,0.000901,0.44077,0
12,2489.25,1.06983,0.51698,0.00779,0.87156,0.83673,0.88715,0.46387,1.66536,1.15344,0.01148,0.0008911,0.0008911,0.0008911,0.46387,0
13,2692.43,1.05949,0.48752,0.0078,0.88258,0.83515,0.88322,0.47653,1.66477,1.22679,0.01148,0.0008812,0.0008812,0.0008812,0.47653,0
14,2892.27,1.05554,0.48328,0.00771,0.87809,0.82913,0.87217,0.46357,1.63341,1.15947,0.0112,0.0008713,0.0008713,0.0008713,0.46357,0
15,3096.19,1.03705,0.47692,0.0076,0.89496,0.85074,0.88945,0.47901,1.6581,1.17761,0.01129,0.0008614,0.0008614,0.0008614,0.47901,0
16,3292.49,1.03031,0.4654,0.00753,0.87317,0.86692,0.89075,0.4928,1.65834,1.14138,0.01134,0.0008515,0.0008515,0.0008515,0.4928,0
17,3489.47,1.01988,0.4631,0.00742,0.91097,0.83508,0.90125,0.47509,1.63839,1.12306,0.01133,0.0008416,0.0008416,0.0008416,0.47509,0
18,3693.86,1.02308,0.45095,0.00746,0.90096,0.8358,0.87243,0.48793,1.66593,1.17219,0.01146,0.0008317,0.0008317,0.0008317,0.48793,0
19,3893.08,0.99416,0.44068,0.00721,0.89212,0.82619,0.86687,0.47617,1.67354,1.16961,0.01164,0.0008218,0.0008218,0.0008218,0.47617,0
