epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
1,196.851,1.48419,1.32696,0.02828,0.22969,0.72466,0.69604,0.70379,0.33299,1.72195,1.48935,0.02327,0.14739,0.000332889,0.000332889,0.067044,0.33299,0
2,520.198,1.28917,0.8146,0.0273,0.18537,0.85612,0.79378,0.80912,0.50284,1.38782,1.42184,0.02427,0.13873,0.000659627,0.000659627,0.0340374,0.50284,0
3,716.6,1.19093,0.65089,0.02622,0.17601,0.825,0.80925,0.8314,0.47845,1.47097,1.35721,0.02297,0.10733,0.000979764,0.000979764,0.00102421,0.47845,0
4,908.049,1.13979,0.58098,0.0262,0.16036,0.88737,0.81153,0.83341,0.50676,1.37888,1.26631,0.02316,0.12992,0.0009703,0.0009703,0.0009703,0.50676,0
5,1099.59,1.11116,0.5643,0.02666,0.15354,0.88529,0.81841,0.82764,0.49237,1.41594,1.29596,0.02358,0.13091,0.0009604,0.0009604,0.0009604,0.49237,0
6,1302.57,1.07912,0.52704,0.02516,0.14949,0.86519,0.85893,0.85851,0.5247,1.36189,1.20989,0.02326,0.11356,0.0009505,0.0009505,0.0009505,0.5247,0
7,1506.96,1.05297,0.51376,0.02548,0.14385,0.8946,0.81574,0.84425,0.52081,1.34853,1.11892,0.02271,0.1068,0.0009406,0.0009406,0.0009406,0.52081,0
8,1698.86,1.04232,0.5033,0.02593,0.13482,0.8705,0.83,0.85484,0.50806,1.38296,1.16226,0.02474,0.14471,0.0009307,0.0009307,0.0009307,0.50806,0
9,1884.63,1.01968,0.4892,0.02574,0.13402,0.90513,0.87031,0.87199,0.53344,1.33882,1.10692,0.02392,0.13394,0.0009208,0.0009208,0.0009208,0.53344,0
10,2069.7,1.01448,0.48888,0.0255,0.13178,0.86796,0.84721,0.84264,0.52063,1.31704,1.50734,0.02376,0.1343,0.0009109,0.0009109,0.0009109,0.52063,0
11,2259.88,0.99415,0.46102,0.02617,0.12777,0.87455,0.8596,0.87085,0.55458,1.32028,1.45797,0.02344,0.12709,0.000901,0.000901,0.000901,0.55458,0
12,2458.97,0.97974,0.45924,0.02506,0.12469,0.90364,0.84477,0.90263,0.5544,1.39983,1.16533,0.02295,0.11411,0.0008911,0.0008911,0.0008911,0.5544,0
13,2647.56,0.9616,0.4471,0.025,0.11654,0.89736,0.85046,0.89368,0.55466,1.39454,1.30338,0.02394,0.11048,0.0008812,0.0008812,0.0008812,0.55466,0
14,2851.32,0.96845,0.44782,0.02518,0.11683,0.87091,0.86157,0.90283,0.5661,1.32182,1.23519,0.02346,0.11253,0.0008713,0.0008713,0.0008713,0.5661,0
15,3050.86,0.95137,0.43871,0.02535,0.11638,0.85192,0.84379,0.86564,0.5465,1.35442,1.64309,0.02353,0.10807,0.0008614,0.0008614,0.0008614,0.5465,0
16,3251.37,0.93465,0.43312,0.02485,0.11422,0.89882,0.86512,0.8779,0.55229,1.33141,1.36016,0.0236,0.11266,0.0008515,0.0008515,0.0008515,0.55229,0
