epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55863,2.23455,4.01768,0.01287,0,0,0,0,1.99833,3.90848,0.01029,0.000291667,0.000291667,0.071125
2,13.3785,1.62481,3.62857,0.0088,1,0.00175,0.005,0.0005,2.06401,3.7499,0.01074,0.000618813,0.000618813,0.0381188
3,17.1612,1.52386,3.37185,0.00815,0.04698,0.78846,0.14528,0.03335,2.07613,3.71338,0.01074,0.000939358,0.000939358,0.00510603
4,21.0399,1.49377,3.18239,0.0077,0.0501,0.84091,0.24578,0.05736,1.84392,3.65026,0.00928,0.0009703,0.0009703,0.0009703
5,24.9534,1.42485,2.88444,0.00766,0.05,0.83916,0.31433,0.08565,1.67696,3.55291,0.00822,0.0009604,0.0009604,0.0009604
6,29.1035,1.35916,2.61884,0.00712,0.05146,0.86364,0.30625,0.08623,1.62921,3.49232,0.00797,0.0009505,0.0009505,0.0009505
7,33.3,1.44212,2.40503,0.00751,0.0524,0.87937,0.34981,0.10301,1.57833,3.29763,0.00769,0.0009406,0.0009406,0.0009406
8,37.498,1.43891,2.14894,0.00768,0.23623,0.5542,0.34027,0.09525,1.57951,3.17294,0.00774,0.0009307,0.0009307,0.0009307
9,41.5421,1.43568,2.03505,0.00779,0.47003,0.37587,0.39717,0.11124,1.83567,2.75493,0.0094,0.0009208,0.0009208,0.0009208
10,45.5526,1.43879,1.93965,0.00771,0.4654,0.47028,0.46662,0.16966,1.92293,2.34254,0.00971,0.0009109,0.0009109,0.0009109
11,49.5493,1.42291,1.83604,0.00751,0.49922,0.45629,0.4577,0.17962,1.92856,2.32215,0.00974,0.000901,0.000901,0.000901
12,53.9767,1.43007,1.71983,0.00762,0.5936,0.40734,0.4589,0.18118,2.02631,2.43247,0.01018,0.0008911,0.0008911,0.0008911
13,57.9783,1.39391,1.63287,0.0074,0.66405,0.33566,0.41546,0.13928,2.16651,2.69959,0.01073,0.0008812,0.0008812,0.0008812
14,61.8903,1.41399,1.62409,0.0073,0.68242,0.35688,0.47572,0.16399,2.10696,2.61359,0.01041,0.0008713,0.0008713,0.0008713
15,65.8449,1.39093,1.60481,0.00747,0.74307,0.44056,0.57978,0.22025,2.01486,2.42588,0.01001,0.0008614,0.0008614,0.0008614
16,70.3813,1.39055,1.5426,0.00741,0.72975,0.46329,0.58064,0.21323,2.03062,2.47347,0.01004,0.0008515,0.0008515,0.0008515
17,74.7099,1.40223,1.49749,0.00745,0.68911,0.52098,0.59632,0.19013,2.10946,2.45302,0.01028,0.0008416,0.0008416,0.0008416
18,78.8984,1.40587,1.43579,0.00737,0.76438,0.57867,0.6793,0.25147,1.95621,2.13693,0.00958,0.0008317,0.0008317,0.0008317
19,82.8701,1.44393,1.36574,0.00735,0.62829,0.6117,0.65531,0.22896,2.02469,2.07398,0.00983,0.0008218,0.0008218,0.0008218
20,87.0009,1.41084,1.32281,0.00719,0.6624,0.65734,0.70009,0.24561,2.02581,1.98883,0.00989,0.0008119,0.0008119,0.0008119
21,90.945,1.39368,1.28623,0.00705,0.69773,0.68881,0.73293,0.31068,1.8618,1.83605,0.00916,0.000802,0.000802,0.000802
22,94.8935,1.46853,1.31221,0.00792,0.71482,0.70552,0.75662,0.36174,1.85885,1.60466,0.00953,0.0007921,0.0007921,0.0007921
23,98.8871,1.39209,1.24288,0.0076,0.7138,0.72552,0.7655,0.37199,1.83025,1.56412,0.00938,0.0007822,0.0007822,0.0007822
24,102.881,1.45398,1.25336,0.00736,0.7978,0.68979,0.79281,0.3683,1.86371,1.56765,0.00915,0.0007723,0.0007723,0.0007723
25,106.791,1.53636,1.33241,0.00821,0.81637,0.69948,0.80384,0.35563,1.9234,1.5586,0.00944,0.0007624,0.0007624,0.0007624
26,110.775,1.3541,1.18555,0.00678,0.79191,0.7028,0.80308,0.38188,1.83951,1.49478,0.00914,0.0007525,0.0007525,0.0007525
27,114.707,1.41699,1.12812,0.00736,0.74457,0.74301,0.80825,0.39685,1.78061,1.46354,0.00892,0.0007426,0.0007426,0.0007426
28,118.668,1.39646,1.12703,0.00714,0.72922,0.76399,0.81658,0.40342,1.78001,1.36056,0.00892,0.0007327,0.0007327,0.0007327
29,122.727,1.36781,1.09021,0.00708,0.76068,0.75572,0.82533,0.37968,1.8448,1.34939,0.00913,0.0007228,0.0007228,0.0007228
30,126.67,1.38583,1.06227,0.0071,0.75179,0.77838,0.83045,0.38526,1.85706,1.35654,0.00929,0.0007129,0.0007129,0.0007129
31,130.86,1.44655,1.07911,0.00729,0.7875,0.76748,0.84032,0.38281,1.85973,1.36518,0.00942,0.000703,0.000703,0.000703
32,134.921,1.32331,1.00437,0.00686,0.77593,0.80245,0.85174,0.42083,1.74534,1.26687,0.00871,0.0006931,0.0006931,0.0006931
33,138.946,1.30027,1.00958,0.00677,0.82877,0.76156,0.86288,0.4337,1.71733,1.2381,0.0085,0.0006832,0.0006832,0.0006832
34,143.042,1.34802,1.02736,0.00699,0.85278,0.76573,0.87324,0.44452,1.70687,1.20683,0.00848,0.0006733,0.0006733,0.0006733
35,147.248,1.24075,0.96834,0.00636,0.84453,0.79895,0.87604,0.42262,1.83896,1.21741,0.00899,0.0006634,0.0006634,0.0006634
36,151.383,1.25534,0.95486,0.0065,0.83449,0.80214,0.87417,0.42728,1.81984,1.2024,0.00891,0.0006535,0.0006535,0.0006535
37,155.454,1.23486,0.91967,0.00647,0.86865,0.81294,0.88804,0.43692,1.79328,1.15889,0.00909,0.0006436,0.0006436,0.0006436
38,159.559,1.33837,0.92907,0.00694,0.86262,0.81234,0.88499,0.42292,1.85891,1.15974,0.00951,0.0006337,0.0006337,0.0006337
39,163.53,1.3586,0.94158,0.00689,0.86348,0.81119,0.88609,0.45604,1.71563,1.10701,0.00853,0.0006238,0.0006238,0.0006238
40,167.425,1.30817,0.93437,0.00657,0.83857,0.82343,0.87749,0.44164,1.73051,1.12702,0.00852,0.0006139,0.0006139,0.0006139
41,171.454,1.26783,0.90309,0.00655,0.82359,0.82867,0.87201,0.438,1.73524,1.142,0.00858,0.000604,0.000604,0.000604
42,176.011,1.24973,0.87418,0.00645,0.85189,0.79021,0.87766,0.45998,1.6731,1.10273,0.00832,0.0005941,0.0005941,0.0005941
43,181.075,1.26191,0.86085,0.00658,0.85683,0.78671,0.88154,0.46977,1.66753,1.08422,0.0083,0.0005842,0.0005842,0.0005842
44,185.826,1.25049,0.85358,0.00657,0.89511,0.75874,0.88574,0.4749,1.64676,1.07743,0.0082,0.0005743,0.0005743,0.0005743
45,190.437,1.22892,0.84025,0.00623,0.84157,0.80245,0.88129,0.44591,1.72257,1.12149,0.00858,0.0005644,0.0005644,0.0005644
46,194.909,1.28096,0.84876,0.00661,0.81807,0.84266,0.87945,0.42227,1.80475,1.13919,0.00905,0.0005545,0.0005545,0.0005545
47,199.163,1.39065,0.87659,0.00698,0.79784,0.8514,0.87603,0.42326,1.80614,1.10999,0.00905,0.0005446,0.0005446,0.0005446
48,203.683,1.30662,0.84163,0.00686,0.80965,0.83916,0.87084,0.44643,1.72132,1.08122,0.00852,0.0005347,0.0005347,0.0005347
49,207.845,1.24987,0.84431,0.00674,0.82205,0.82376,0.87877,0.4729,1.65781,1.04519,0.0082,0.0005248,0.0005248,0.0005248
50,212.107,1.31319,0.83846,0.00684,0.83686,0.81612,0.88397,0.4811,1.65067,1.02434,0.00818,0.0005149,0.0005149,0.0005149
51,216.178,1.26954,0.82343,0.00655,0.81433,0.83392,0.88456,0.49101,1.60125,1.01589,0.00788,0.000505,0.000505,0.000505
52,220.379,1.18915,0.78133,0.00619,0.81282,0.87307,0.89175,0.48663,1.63157,1.00715,0.00794,0.0004951,0.0004951,0.0004951
53,224.463,1.22615,0.78212,0.00635,0.81074,0.87621,0.89379,0.47473,1.66623,1.00989,0.00813,0.0004852,0.0004852,0.0004852
54,228.539,1.27355,0.82968,0.00659,0.82641,0.87413,0.902,0.47635,1.68347,1.00823,0.00829,0.0004753,0.0004753,0.0004753
55,232.684,1.23425,0.75404,0.00627,0.86518,0.84146,0.90775,0.48224,1.66676,1.01258,0.00823,0.0004654,0.0004654,0.0004654
56,236.799,1.18122,0.77261,0.00629,0.88128,0.82168,0.90232,0.48977,1.63403,1.02083,0.00803,0.0004555,0.0004555,0.0004555
57,241.139,1.24943,0.79087,0.00642,0.84151,0.86364,0.8979,0.49897,1.61762,0.99054,0.00788,0.0004456,0.0004456,0.0004456
58,245.275,1.18262,0.77317,0.00601,0.85241,0.84812,0.89662,0.49539,1.62774,0.99142,0.00791,0.0004357,0.0004357,0.0004357
59,249.474,1.16909,0.74969,0.00582,0.85536,0.85813,0.90004,0.49403,1.63604,0.98428,0.008,0.0004258,0.0004258,0.0004258
60,253.764,1.17652,0.76121,0.00616,0.85877,0.86538,0.90657,0.4816,1.67543,0.99543,0.00825,0.0004159,0.0004159,0.0004159
61,257.943,1.18574,0.73767,0.00613,0.85822,0.84663,0.90853,0.45325,1.78687,1.02625,0.00895,0.000406,0.000406,0.000406
62,262.105,1.18111,0.73658,0.00611,0.92223,0.77797,0.9037,0.41449,1.92334,1.08317,0.00981,0.0003961,0.0003961,0.0003961
63,266.365,1.14104,0.74453,0.00618,0.91314,0.79028,0.9056,0.41555,1.92045,1.08056,0.0098,0.0003862,0.0003862,0.0003862
64,270.827,1.25699,0.75438,0.00649,0.87507,0.84497,0.90491,0.45908,1.76502,1.01405,0.00885,0.0003763,0.0003763,0.0003763
65,275.256,1.18182,0.75499,0.00595,0.85852,0.84091,0.9014,0.48336,1.66979,0.98212,0.00828,0.0003664,0.0003664,0.0003664
66,279.637,1.13972,0.71093,0.00606,0.83194,0.87409,0.90244,0.48778,1.66343,0.97892,0.00824,0.0003565,0.0003565,0.0003565
