epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
1,9.85966,2.15466,4.03671,0.01293,0,0,0,0,2.19029,3.91608,0.01145,0.000291667,0.000291667,0.071125,0.0,0
2,13.5619,1.52971,3.66187,0.00885,0,0,0,0,2.35549,3.77696,0.01277,0.000622938,0.000622938,0.0381229,0.0,0
3,17.3011,1.32532,3.39892,0.00749,0.02969,0.49825,0.05911,0.01162,2.52599,3.76551,0.0142,0.000952008,0.000952008,0.00511868,0.01162,0
4,21.3005,1.20644,3.16189,0.00674,0.0326,0.5472,0.08495,0.01463,2.65491,3.7389,0.01554,0.0009901,0.0009901,0.0009901,0.01463,0
5,25.4212,1.2425,2.91179,0.00689,0.04583,0.76923,0.27565,0.07504,2.05144,3.55411,0.01073,0.0009868,0.0009868,0.0009868,0.07504,0
6,29.5831,1.25702,2.5717,0.00717,0.04437,0.74476,0.19378,0.05609,2.24887,3.48737,0.01219,0.0009835,0.0009835,0.0009835,0.05609,0
7,33.865,1.19947,2.4653,0.00677,0.03927,0.65909,0.13686,0.02915,2.70995,3.39214,0.01589,0.0009802,0.0009802,0.0009802,0.02915,0
8,37.8501,1.20473,2.19893,0.00677,0.26478,0.41434,0.23819,0.06222,2.5072,3.03373,0.01419,0.0009769,0.0009769,0.0009769,0.06222,0
9,41.8135,1.36489,2.06108,0.00765,0.47383,0.44712,0.42961,0.16803,1.97358,2.38124,0.0102,0.0009736,0.0009736,0.0009736,0.16803,0
10,45.7572,1.35398,2.01305,0.00753,0.561,0.4493,0.48404,0.18856,1.91568,2.24995,0.00975,0.0009703,0.0009703,0.0009703,0.18856,0
11,49.7278,1.24734,1.91519,0.00701,0.52739,0.45629,0.48588,0.16033,2.01364,2.37405,0.01042,0.000967,0.000967,0.000967,0.16033,0
12,53.6527,1.30122,1.92378,0.00741,0.66142,0.46154,0.56266,0.19388,1.92971,2.28403,0.00985,0.0009637,0.0009637,0.0009637,0.19388,0
13,57.6391,1.3445,1.80269,0.00757,0.66158,0.48189,0.58756,0.2548,1.75778,2.05568,0.00876,0.0009604,0.0009604,0.0009604,0.2548,0
14,61.583,1.25946,1.61708,0.00697,0.65785,0.5472,0.62163,0.3137,1.68857,1.89372,0.00832,0.0009571,0.0009571,0.0009571,0.3137,0
15,65.5023,1.34665,1.58859,0.00755,0.73943,0.58042,0.68535,0.28918,1.82469,1.93961,0.00915,0.0009538,0.0009538,0.0009538,0.28918,0
16,69.5262,1.26952,1.47363,0.00719,0.7088,0.60851,0.68693,0.27383,1.85815,1.95311,0.0094,0.0009505,0.0009505,0.0009505,0.27383,0
17,73.4644,1.22169,1.39906,0.00682,0.72229,0.66084,0.73817,0.31953,1.8033,1.78969,0.00896,0.0009472,0.0009472,0.0009472,0.31953,0
18,77.3723,1.2625,1.32709,0.00698,0.7604,0.6451,0.76752,0.36258,1.71553,1.6711,0.00845,0.0009439,0.0009439,0.0009439,0.36258,0
19,81.2741,1.21836,1.2559,0.00669,0.74012,0.67712,0.78024,0.38031,1.73366,1.56217,0.0086,0.0009406,0.0009406,0.0009406,0.38031,0
20,85.3355,1.20133,1.18771,0.00663,0.84835,0.63462,0.79577,0.3794,1.77336,1.48095,0.0089,0.0009373,0.0009373,0.0009373,0.3794,0
21,89.3102,1.23938,1.17586,0.00695,0.90972,0.65909,0.80681,0.38131,1.77924,1.47866,0.00891,0.000934,0.000934,0.000934,0.38131,0
22,93.3577,1.20153,1.12238,0.00672,0.7523,0.72378,0.79586,0.37459,1.76312,1.47355,0.00885,0.0009307,0.0009307,0.0009307,0.37459,0
23,97.5117,1.17242,1.06305,0.00657,0.72575,0.72028,0.7945,0.38424,1.79112,1.47566,0.00895,0.0009274,0.0009274,0.0009274,0.38424,0
24,101.494,1.21711,1.02182,0.00681,0.74255,0.72203,0.7994,0.39475,1.78733,1.48683,0.00892,0.0009241,0.0009241,0.0009241,0.39475,0
25,105.479,1.18532,0.96169,0.00657,0.77331,0.72758,0.80876,0.41005,1.77771,1.49832,0.00883,0.0009208,0.0009208,0.0009208,0.41005,0
26,109.48,1.17262,0.91018,0.0065,0.7795,0.72028,0.81164,0.40636,1.78131,1.53862,0.0089,0.0009175,0.0009175,0.0009175,0.40636,0
27,113.501,1.13676,0.87907,0.00628,0.80691,0.70866,0.83344,0.42049,1.78359,1.53971,0.00892,0.0009142,0.0009142,0.0009142,0.42049,0
28,117.523,1.09765,0.84499,0.00609,0.81384,0.71845,0.84108,0.43036,1.76814,1.48787,0.00879,0.0009109,0.0009109,0.0009109,0.43036,0
29,121.645,1.10064,0.82582,0.0061,0.78816,0.76753,0.85268,0.40948,1.8591,1.35091,0.00942,0.0009076,0.0009076,0.0009076,0.40948,0
30,125.712,1.19816,0.82505,0.0065,0.79188,0.77162,0.84543,0.45036,1.73751,1.25785,0.00857,0.0009043,0.0009043,0.0009043,0.45036,0
31,129.747,1.10604,0.79075,0.00605,0.79562,0.75544,0.84794,0.45842,1.73635,1.23163,0.00858,0.000901,0.000901,0.000901,0.45842,0
32,133.78,1.15816,0.80186,0.00627,0.8632,0.75013,0.85872,0.46858,1.72427,1.19416,0.00848,0.0008977,0.0008977,0.0008977,0.46858,0
33,137.721,1.08484,0.77539,0.00601,0.85724,0.75582,0.86788,0.45598,1.7664,1.16633,0.00877,0.0008944,0.0008944,0.0008944,0.45598,0
34,141.697,1.11047,0.7645,0.00616,0.86938,0.80594,0.8732,0.43915,1.81555,1.21425,0.00913,0.0008911,0.0008911,0.0008911,0.43915,0
35,145.657,1.08501,0.74645,0.00592,0.87101,0.76733,0.88589,0.47041,1.74243,1.23462,0.00862,0.0008878,0.0008878,0.0008878,0.47041,0
36,149.543,1.06557,0.6979,0.00576,0.87404,0.78497,0.88268,0.46266,1.77952,1.25194,0.00882,0.0008845,0.0008845,0.0008845,0.46266,0
37,153.387,1.06883,0.70272,0.00583,0.83391,0.78997,0.8827,0.44616,1.80376,1.25566,0.00905,0.0008812,0.0008812,0.0008812,0.44616,0
38,157.493,1.02735,0.68005,0.00565,0.80837,0.81125,0.8787,0.44713,1.79786,1.22384,0.00899,0.0008779,0.0008779,0.0008779,0.44713,0
39,161.391,1.03683,0.68717,0.00567,0.8568,0.83566,0.89839,0.45976,1.78688,1.12555,0.00896,0.0008746,0.0008746,0.0008746,0.45976,0
40,165.381,1.00138,0.64967,0.0054,0.86554,0.80594,0.88612,0.44968,1.79906,1.12258,0.00905,0.0008713,0.0008713,0.0008713,0.44968,0
41,169.378,1.00617,0.65438,0.00544,0.87315,0.81119,0.88761,0.45432,1.77365,1.12333,0.00888,0.000868,0.000868,0.000868,0.45432,0
42,173.39,1.04075,0.65246,0.00559,0.85552,0.80944,0.8912,0.46889,1.72703,1.07182,0.00857,0.0008647,0.0008647,0.0008647,0.46889,0
43,177.441,1.01024,0.63294,0.00557,0.8769,0.81294,0.89983,0.45957,1.77501,1.05916,0.00887,0.0008614,0.0008614,0.0008614,0.45957,0
44,181.407,1.02748,0.62882,0.00558,0.88121,0.83392,0.90299,0.48254,1.68376,1.05857,0.00832,0.0008581,0.0008581,0.0008581,0.48254,0
45,185.453,1.02383,0.61082,0.00555,0.90144,0.83392,0.91006,0.48133,1.69981,1.04587,0.00844,0.0008548,0.0008548,0.0008548,0.48133,0
46,189.575,0.98592,0.60329,0.00529,0.90063,0.83916,0.91262,0.44425,1.84312,1.04624,0.00934,0.0008515,0.0008515,0.0008515,0.44425,0
47,193.571,0.98967,0.60321,0.00541,0.89296,0.81671,0.90794,0.47716,1.74481,1.0188,0.00869,0.0008482,0.0008482,0.0008482,0.47716,0
48,197.479,0.97895,0.5793,0.00522,0.88044,0.82394,0.90568,0.51071,1.60878,1.00702,0.00785,0.0008449,0.0008449,0.0008449,0.51071,0
49,201.372,0.96248,0.56173,0.00521,0.90451,0.81294,0.90825,0.49183,1.66709,1.00368,0.0082,0.0008416,0.0008416,0.0008416,0.49183,0
50,205.472,0.96744,0.57275,0.00519,0.90008,0.83465,0.90982,0.5024,1.63362,0.9997,0.00803,0.0008383,0.0008383,0.0008383,0.5024,0
51,209.594,0.9757,0.56646,0.00521,0.88861,0.85077,0.91228,0.5003,1.64752,0.99772,0.00812,0.000835,0.000835,0.000835,0.5003,0
52,213.812,0.93136,0.54753,0.00502,0.88859,0.83916,0.90757,0.48988,1.68466,1.02787,0.00833,0.0008317,0.0008317,0.0008317,0.48988,0
53,217.918,0.94248,0.55107,0.00504,0.88269,0.83741,0.89931,0.50447,1.61355,1.01888,0.00786,0.0008284,0.0008284,0.0008284,0.50447,0
54,222.121,0.94644,0.54553,0.00509,0.87067,0.84965,0.90483,0.46846,1.74942,1.03382,0.00872,0.0008251,0.0008251,0.0008251,0.46846,0
55,226.344,0.96863,0.55084,0.0052,0.83585,0.86351,0.89836,0.4933,1.64691,0.98187,0.00811,0.0008218,0.0008218,0.0008218,0.4933,0
56,230.427,0.9306,0.52353,0.00508,0.82053,0.86325,0.89761,0.49471,1.64196,0.96378,0.00809,0.0008185,0.0008185,0.0008185,0.49471,0
57,234.517,0.9519,0.53311,0.00517,0.87265,0.86252,0.90988,0.46844,1.75344,0.97972,0.00877,0.0008152,0.0008152,0.0008152,0.46844,0
58,238.544,0.96558,0.53223,0.00516,0.86964,0.86014,0.91193,0.49579,1.68421,0.9603,0.00829,0.0008119,0.0008119,0.0008119,0.49579,0
59,242.715,0.95744,0.52145,0.0051,0.85556,0.8595,0.90831,0.50402,1.62491,0.95305,0.00792,0.0008086,0.0008086,0.0008086,0.50402,0
60,246.997,0.94544,0.50738,0.00513,0.87889,0.83916,0.91071,0.43821,1.89254,0.98367,0.00962,0.0008053,0.0008053,0.0008053,0.43821,0
61,251.099,0.91852,0.51092,0.00507,0.91096,0.84615,0.91955,0.44811,1.84192,0.97623,0.00932,0.000802,0.000802,0.000802,0.44811,0
62,255.471,0.94099,0.50844,0.00504,0.87431,0.85124,0.91392,0.49393,1.66931,0.92727,0.00818,0.0007987,0.0007987,0.0007987,0.49393,0
63,259.449,0.89999,0.49009,0.00495,0.88477,0.84091,0.91584,0.46135,1.78683,0.93565,0.00891,0.0007954,0.0007954,0.0007954,0.46135,0
64,263.534,1.01539,0.52215,0.00551,0.88711,0.84965,0.90636,0.34259,2.19275,1.03519,0.01161,0.0007921,0.0007921,0.0007921,0.34259,0
65,267.501,1.04515,0.51111,0.00575,0.88109,0.85664,0.91605,0.42344,1.91034,0.93108,0.00965,0.0007888,0.0007888,0.0007888,0.42344,0
66,271.739,0.98185,0.51779,0.00529,0.88313,0.85873,0.92195,0.50393,1.63883,0.89966,0.00796,0.0007855,0.0007855,0.0007855,0.50393,0
67,275.646,1.13552,0.54169,0.0061,0.88557,0.8659,0.92214,0.52645,1.57272,0.89223,0.00759,0.0007822,0.0007822,0.0007822,0.52645,0
68,279.568,1.11751,0.5175,0.00602,0.90165,0.84946,0.92775,0.50083,1.65068,0.88583,0.00808,0.0007789,0.0007789,0.0007789,0.50083,0
69,283.59,0.958,0.49003,0.00504,0.92462,0.83628,0.91632,0.4046,1.99694,0.95129,0.01034,0.0007756,0.0007756,0.0007756,0.4046,0
70,287.65,0.92924,0.47404,0.00505,0.90914,0.8397,0.91772,0.46966,1.75081,0.91622,0.00869,0.0007723,0.0007723,0.0007723,0.46966,0
71,292.017,0.90912,0.48536,0.00486,0.91768,0.83802,0.92362,0.50728,1.60626,0.89936,0.00781,0.000769,0.000769,0.000769,0.50728,0
72,296.055,0.91654,0.47638,0.00485,0.90915,0.85726,0.92421,0.49276,1.67959,0.9081,0.00826,0.0007657,0.0007657,0.0007657,0.49276,0
73,299.959,0.90187,0.46447,0.0049,0.911,0.85895,0.92752,0.4607,1.79745,0.93669,0.00901,0.0007624,0.0007624,0.0007624,0.4607,0
74,303.946,0.9536,0.47299,0.00518,0.92045,0.83916,0.92383,0.45089,1.83947,0.92627,0.0093,0.0007591,0.0007591,0.0007591,0.45089,0
75,307.921,0.91857,0.4723,0.00496,0.93538,0.83511,0.92695,0.5199,1.61356,0.84216,0.00791,0.0007558,0.0007558,0.0007558,0.5199,0
76,311.909,0.8996,0.46656,0.00484,0.92034,0.84832,0.93116,0.5221,1.61218,0.83697,0.0079,0.0007525,0.0007525,0.0007525,0.5221,0
77,315.978,0.89171,0.45274,0.00481,0.93712,0.8479,0.93274,0.4668,1.7979,0.89802,0.00904,0.0007492,0.0007492,0.0007492,0.4668,0
78,320.24,0.87281,0.44224,0.00469,0.91548,0.85215,0.93136,0.46422,1.7959,0.91268,0.00903,0.0007459,0.0007459,0.0007459,0.46422,0
79,324.386,0.89272,0.44472,0.00473,0.93557,0.83779,0.92659,0.50682,1.64784,0.89092,0.0081,0.0007426,0.0007426,0.0007426,0.50682,0
80,328.239,0.86753,0.44447,0.00462,0.90156,0.86461,0.93158,0.47574,1.75945,0.90968,0.00877,0.0007393,0.0007393,0.0007393,0.47574,0
81,332.142,0.88219,0.44159,0.0047,0.92968,0.85315,0.9334,0.43793,1.89043,0.93959,0.00958,0.000736,0.000736,0.000736,0.43793,0
82,336.067,0.88731,0.44856,0.00483,0.9045,0.861,0.92949,0.44897,1.83491,0.90433,0.00923,0.0007327,0.0007327,0.0007327,0.44897,0
83,340.114,0.84272,0.42682,0.00448,0.91745,0.85494,0.93474,0.47286,1.76086,0.87338,0.00879,0.0007294,0.0007294,0.0007294,0.47286,0
84,344.06,0.8598,0.42054,0.0046,0.92435,0.85315,0.93297,0.49451,1.6846,0.86144,0.00839,0.0007261,0.0007261,0.0007261,0.49451,0
85,348,0.8546,0.43477,0.00451,0.88197,0.87238,0.92705,0.48218,1.73046,0.88772,0.0086,0.0007228,0.0007228,0.0007228,0.48218,0
86,351.851,0.84772,0.42137,0.00452,0.8919,0.86014,0.92684,0.47519,1.75736,0.89387,0.00876,0.0007195,0.0007195,0.0007195,0.47519,0
87,355.774,0.84326,0.4143,0.00452,0.91111,0.85839,0.92779,0.50306,1.6722,0.83054,0.00829,0.0007162,0.0007162,0.0007162,0.50306,0
88,359.728,0.82431,0.40033,0.00441,0.90193,0.86538,0.92608,0.50502,1.65941,0.83434,0.0082,0.0007129,0.0007129,0.0007129,0.50502,0
89,363.723,0.86558,0.40257,0.00465,0.91411,0.84615,0.92846,0.47742,1.73645,0.85672,0.00869,0.0007096,0.0007096,0.0007096,0.47742,0
90,367.788,0.86423,0.41163,0.00457,0.94794,0.84615,0.93386,0.51805,1.60905,0.82768,0.00793,0.0007063,0.0007063,0.0007063,0.51805,0
91,371.658,0.87525,0.41642,0.00461,0.94953,0.84266,0.93565,0.5033,1.6647,0.85373,0.00826,0.000703,0.000703,0.000703,0.5033,0
92,375.626,0.85481,0.40196,0.00448,0.93107,0.85016,0.93349,0.45439,1.83542,0.89816,0.00926,0.0006997,0.0006997,0.0006997,0.45439,0
93,379.525,0.85773,0.40566,0.00462,0.95077,0.84417,0.93154,0.45426,1.84056,0.8915,0.00928,0.0006964,0.0006964,0.0006964,0.45426,0
94,383.484,0.85769,0.39199,0.00454,0.93155,0.86189,0.93749,0.48948,1.73317,0.82454,0.00865,0.0006931,0.0006931,0.0006931,0.48948,0
