epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8885,1.87115,3.58102,0.01077,0.00292,0.04895,0.00057,8e-05,2.11391,3.58517,0.01096,0.000277778,0.000277778,0.0725
2,72.0418,1.62761,3.22833,0.00882,0.0449,0.7535,0.1034,0.02001,2.12827,3.65895,0.01113,0.000605061,0.000605061,0.0394939
3,97.9893,1.57802,2.88972,0.00827,0.04594,0.77098,0.15647,0.03417,2.15283,3.61676,0.01135,0.000925744,0.000925744,0.0064813
4,124.371,1.53091,2.6813,0.00811,0.04281,0.71853,0.25169,0.05275,2.19079,3.54207,0.01172,0.0009703,0.0009703,0.0009703
5,148.685,1.50741,2.49958,0.00768,0.04208,0.70629,0.29466,0.07032,2.10932,3.45934,0.01117,0.0009604,0.0009604,0.0009604
6,171.327,1.48461,2.35813,0.00777,0.04281,0.71853,0.2797,0.07798,1.95889,3.32126,0.01015,0.0009505,0.0009505,0.0009505
7,193.942,1.53546,2.26726,0.00809,0.04688,0.78671,0.28076,0.07571,1.93396,3.20343,0.01007,0.0009406,0.0009406,0.0009406
8,216.771,1.50156,2.15702,0.00781,0.1344,0.69755,0.41413,0.15898,1.77013,2.91226,0.00896,0.0009307,0.0009307,0.0009307
9,240.862,1.53452,2.21301,0.00816,0.40575,0.52402,0.45863,0.1838,1.78325,2.7932,0.00906,0.0009208,0.0009208,0.0009208
10,264.948,1.48547,2.05556,0.00787,0.69455,0.39161,0.54881,0.19799,1.80475,2.69167,0.00923,0.0009109,0.0009109,0.0009109
11,288.964,1.4937,2.00075,0.00778,0.71537,0.39546,0.56485,0.2244,1.75513,2.60385,0.00887,0.000901,0.000901,0.000901
12,312.152,1.456,1.89727,0.00771,0.77306,0.36327,0.56762,0.24205,1.80494,2.55039,0.00894,0.0008911,0.0008911,0.0008911
13,335.447,1.45229,1.8211,0.00764,0.81118,0.37063,0.57944,0.24953,1.83724,2.54957,0.00906,0.0008812,0.0008812,0.0008812
14,358.278,1.39749,1.78027,0.00748,0.82142,0.36189,0.5862,0.26042,1.87727,2.50592,0.00925,0.0008713,0.0008713,0.0008713
15,380.916,1.4234,1.78256,0.00731,0.83044,0.35107,0.58351,0.25137,1.94694,2.48876,0.00956,0.0008614,0.0008614,0.0008614
16,403.895,1.44035,1.6945,0.00751,0.77023,0.49814,0.62537,0.24153,2.00278,2.39641,0.00967,0.0008515,0.0008515,0.0008515
17,426.609,1.4288,1.65591,0.0075,0.74259,0.55479,0.66302,0.28986,1.87569,2.18516,0.00912,0.0008416,0.0008416,0.0008416
18,449.211,1.3985,1.66044,0.00715,0.64777,0.59615,0.67613,0.33198,1.7285,1.95076,0.00851,0.0008317,0.0008317,0.0008317
19,471.584,1.35919,1.57184,0.00737,0.64258,0.61289,0.67382,0.33098,1.75258,1.86573,0.0086,0.0008218,0.0008218,0.0008218
20,494.153,1.37704,1.50219,0.0073,0.66995,0.62937,0.68572,0.31969,1.81083,1.79231,0.00875,0.0008119,0.0008119,0.0008119
21,516.776,1.35322,1.45563,0.00688,0.72459,0.62937,0.70604,0.34131,1.7827,1.73818,0.00862,0.000802,0.000802,0.000802
22,539.582,1.39544,1.44059,0.00716,0.83487,0.67308,0.78287,0.38174,1.7676,1.67144,0.00885,0.0007921,0.0007921,0.0007921
23,561.908,1.31156,1.35248,0.00683,0.87054,0.65559,0.79796,0.39129,1.7801,1.65012,0.00891,0.0007822,0.0007822,0.0007822
24,585.116,1.30393,1.30995,0.00679,0.848,0.67301,0.80868,0.38593,1.79284,1.66184,0.00902,0.0007723,0.0007723,0.0007723
25,610.26,1.34293,1.30241,0.00691,0.83398,0.68499,0.81528,0.38262,1.83776,1.67211,0.00941,0.0007624,0.0007624,0.0007624
26,633.545,1.3297,1.28147,0.00695,0.83251,0.69515,0.83892,0.42681,1.72948,1.63247,0.00873,0.0007525,0.0007525,0.0007525
