epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7359,1.676,32.7505,0.009,0,0,0,0,0.38945,36.7055,0.00205,0.000296296,0.000296296,0.0706667
2,125.302,1.50267,10.4916,0.00932,0,0,0,0,0.36504,23.774,0.00203,0.000623396,0.000623396,0.0376604
3,180.241,1.17314,8.2911,0.00659,0,0,0,0,0.35842,19.7786,0.00188,0.000943896,0.000943896,0.0046476
4,237.571,1.44473,7.91772,0.00769,0,0,0,0,0.35822,19.2588,0.00187,0.0009703,0.0009703,0.0009703
5,299.391,1.146,7.63321,0.00627,0,0,0,0,0.37714,18.8728,0.00202,0.0009604,0.0009604,0.0009604
6,355.199,1.01023,6.37834,0.00547,0,0,0,0,0.32674,18.2162,0.00164,0.0009505,0.0009505,0.0009505
7,411.84,1.37217,6.51254,0.00707,3e-05,0.42857,0.14709,0.09771,0.31247,18.0007,0.00166,0.0009406,0.0009406,0.0009406
8,469.286,1.73443,6.09504,0.01079,6e-05,0.57143,0.19823,0.1351,0.29793,17.77,0.00165,0.0009307,0.0009307,0.0009307
9,525.935,1.75732,5.49917,0.01004,0.01433,0.42857,0.08878,0.04598,0.27722,17.4518,0.0014,0.0009208,0.0009208,0.0009208
10,581.879,1.26807,5.35884,0.00693,0.00025,0.71429,0.01973,0.00945,0.30358,16.1136,0.00168,0.0009109,0.0009109,0.0009109
11,638.399,1.41543,4.89043,0.00815,0.00042,0.57143,0.00881,0.00414,0.28353,14.7344,0.00139,0.000901,0.000901,0.000901
12,694.66,1.28854,4.70156,0.00741,0.0432,0.14286,0.03352,0.01493,0.26484,13.7154,0.00123,0.0008911,0.0008911,0.0008911
13,748.751,1.7763,4.82652,0.00989,0.31871,0.14286,0.09217,0.04694,0.30817,12.9855,0.00167,0.0008812,0.0008812,0.0008812
14,803.508,1.91855,5.13992,0.01095,0.24014,0.27257,0.08944,0.04363,0.36062,11.4178,0.00195,0.0008713,0.0008713,0.0008713
15,858.652,1.53646,4.76992,0.00821,0.0255,0.28571,0.06627,0.03102,0.31712,10.511,0.00162,0.0008614,0.0008614,0.0008614
16,914.573,1.53798,3.87863,0.00833,0.11739,0.14286,0.07373,0.04084,0.31574,10.0457,0.00166,0.0008515,0.0008515,0.0008515
17,973.018,1.57386,3.93399,0.0087,0.08891,0.28571,0.07005,0.03607,0.355,9.56787,0.00189,0.0008416,0.0008416,0.0008416
18,1029.43,1.51595,3.57537,0.00806,0.17471,0.14286,0.07325,0.04193,0.344,8.88711,0.00179,0.0008317,0.0008317,0.0008317
19,1087.33,1.34641,3.0672,0.00723,0.15646,0.14286,0.05961,0.03181,0.34243,8.45919,0.00175,0.0008218,0.0008218,0.0008218
20,1144.23,1.2922,2.82881,0.00716,0.13143,0.28571,0.05998,0.02777,0.34438,8.12484,0.00184,0.0008119,0.0008119,0.0008119
21,1200.76,1.23327,2.75779,0.00771,0.27867,0.28571,0.1093,0.05125,0.32544,7.75103,0.00172,0.000802,0.000802,0.000802
22,1256.26,1.19369,2.672,0.00666,0.45591,0.28571,0.16834,0.08304,0.30941,6.74618,0.00184,0.0007921,0.0007921,0.0007921
23,1314.7,1.36176,2.54127,0.00766,0.65814,0.28571,0.20977,0.11398,0.31716,6.31807,0.00179,0.0007822,0.0007822,0.0007822
24,1374.59,1.23653,3.24071,0.00662,0.6564,0.27692,0.20288,0.10669,0.30739,5.92644,0.00174,0.0007723,0.0007723,0.0007723
25,1429.92,1.63484,2.60955,0.00869,0.37355,0.28571,0.15346,0.08861,0.29774,5.68001,0.00157,0.0007624,0.0007624,0.0007624
26,1486.49,1.22684,2.12211,0.00681,0.27398,0.28571,0.12757,0.06299,0.30492,5.36688,0.00165,0.0007525,0.0007525,0.0007525
27,1549.65,1.3116,2.46468,0.00703,0.07869,0.14286,0.04173,0.02139,0.29254,5.30485,0.00158,0.0007426,0.0007426,0.0007426
28,1606.27,1.32368,2.77073,0.0072,0.08643,0.14286,0.03464,0.0176,0.28316,5.3477,0.00151,0.0007327,0.0007327,0.0007327
