epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,accuracy_mAP50-95,is_final_epoch
1,24.1715,1.36684,51.7003,0.00865,0,0,0,0,0.38677,55.7723,0.00276,0.000316667,0.000316667,0.06865,0.0,0
2,33.5469,1.52099,15.9423,0.00868,0,0,0,0,0.44818,24.9319,0.00293,0.000646782,0.000646782,0.0356468,0.0,0
3,43.2102,1.51898,10.2658,0.00908,0,0,0,0,0.32682,20.756,0.00197,0.000973598,0.000973598,0.00264027,0.0,0
4,53.0662,1.46453,9.00076,0.00818,1e-05,0.14286,0,0,0.30586,20.0863,0.00173,0.00098515,0.00098515,0.00098515,0.0,0
5,63.8046,1.45327,8.45966,0.00857,3e-05,0.71429,0.22239,0.10452,0.28421,18.9025,0.00153,0.0009802,0.0009802,0.0009802,0.10452,0
6,73.5329,1.15121,7.20985,0.00628,3e-05,0.71429,0.20235,0.09628,0.28754,17.4211,0.00156,0.00097525,0.00097525,0.00097525,0.09628,0
7,82.9878,1.16112,7.05474,0.00652,0.01668,0.28571,0.28848,0.14534,0.32427,15.7124,0.00173,0.0009703,0.0009703,0.0009703,0.14534,0
8,92.3836,1.11183,6.19172,0.00629,0.91178,0.28571,0.29635,0.13321,0.32731,14.2987,0.0018,0.00096535,0.00096535,0.00096535,0.13321,0
9,101.888,1.18921,5.44154,0.00662,0.47498,0.28571,0.14792,0.07088,0.29339,12.7205,0.00147,0.0009604,0.0009604,0.0009604,0.07088,0
10,111.377,1.49576,5.26166,0.00861,0.34451,0.28571,0.20565,0.12907,0.25376,13.4151,0.00126,0.00095545,0.00095545,0.00095545,0.12907,0
11,121.049,1.35447,4.72369,0.0072,0.38512,0.28571,0.15932,0.10334,0.31051,10.7422,0.0017,0.0009505,0.0009505,0.0009505,0.10334,0
12,130.474,1.37465,5.0363,0.00801,0.58563,0.42857,0.40808,0.16415,0.35027,8.99018,0.00189,0.00094555,0.00094555,0.00094555,0.16415,0
13,139.988,1.39531,4.22958,0.00792,0.66079,0.28068,0.30214,0.14665,0.31323,8.26601,0.00159,0.0009406,0.0009406,0.0009406,0.14665,0
14,149.617,1.18765,3.72497,0.00656,0.93261,0.28571,0.32129,0.21993,0.30267,7.65407,0.00151,0.00093565,0.00093565,0.00093565,0.21993,0
15,158.858,1.46452,3.79276,0.00819,0.37351,0.42857,0.31882,0.18657,0.28818,6.95514,0.00148,0.0009307,0.0009307,0.0009307,0.18657,0
16,168.611,1.57065,3.66122,0.00856,0.21575,0.28571,0.20729,0.10116,0.36392,7.07743,0.00197,0.00092575,0.00092575,0.00092575,0.10116,0
